_ - name,label_description 1,offizielle Website,_ - meta - uuid,_ - dates - end,_ - dates - start,_ - dates - election,_ - datasets - polls - by-name,_ - datasets - polls - by-uuid,_ - datasets - deputies - by-name,_ - datasets - deputies - by-uuid,_ - datasets - candidates - by-name,_ - datasets - candidates - by-uuid,_ - datasets - committees - by-name,_ - datasets - committees - by-uuid,_ - datasets - constituencies - by-name,_ - datasets - constituencies - by-uuid
Nordrhein-Westfalen 2005-2010,Landtag Nordrhein-Westfalen,https://www.landtag.nrw.de/,b61d7370-098f-4e7f-ad56-c44e9fac7ff8,2010-06-10,2005-05-22,2005-05-22,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202005-2010/polls.json,https://www.abgeordnetenwatch.de/api/parliament/b61d7370-098f-4e7f-ad56-c44e9fac7ff8/polls.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202005-2010/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/b61d7370-098f-4e7f-ad56-c44e9fac7ff8/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202005-2010/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/b61d7370-098f-4e7f-ad56-c44e9fac7ff8/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202005-2010/committees.json,https://www.abgeordnetenwatch.de/api/parliament/b61d7370-098f-4e7f-ad56-c44e9fac7ff8/committees.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202005-2010/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/b61d7370-098f-4e7f-ad56-c44e9fac7ff8/constituencies.json
Nordrhein-Westfalen 2010-2012,Landtag Nordrhein-Westfalen,https://www.landtag.nrw.de/,7d1b8c47-a1d5-4092-9f13-096fd6adf3c1,2012-05-13,2010-06-09,2010-05-09,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202010-2012/polls.json,https://www.abgeordnetenwatch.de/api/parliament/7d1b8c47-a1d5-4092-9f13-096fd6adf3c1/polls.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202010-2012/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/7d1b8c47-a1d5-4092-9f13-096fd6adf3c1/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202010-2012/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/7d1b8c47-a1d5-4092-9f13-096fd6adf3c1/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202010-2012/committees.json,https://www.abgeordnetenwatch.de/api/parliament/7d1b8c47-a1d5-4092-9f13-096fd6adf3c1/committees.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202010-2012/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/7d1b8c47-a1d5-4092-9f13-096fd6adf3c1/constituencies.json
Nordrhein-Westfalen 2012-2017,Landtag Nordrhein-Westfalen,https://www.landtag.nrw.de/,9d92f9f0-2fc1-4279-8da0-60cc7939bca3,2017-05-13,2012-05-13,2012-05-13,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202012-2017/polls.json,https://www.abgeordnetenwatch.de/api/parliament/9d92f9f0-2fc1-4279-8da0-60cc7939bca3/polls.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202012-2017/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/9d92f9f0-2fc1-4279-8da0-60cc7939bca3/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202012-2017/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/9d92f9f0-2fc1-4279-8da0-60cc7939bca3/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202012-2017/committees.json,https://www.abgeordnetenwatch.de/api/parliament/9d92f9f0-2fc1-4279-8da0-60cc7939bca3/committees.json,https://www.abgeordnetenwatch.de/api/parliament/nordrhein-westfalen%202012-2017/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/9d92f9f0-2fc1-4279-8da0-60cc7939bca3/constituencies.json
Rheinland-Pfalz,Landtag Rheinland-Pfalz,http://www.landtag.rlp.de/,313c1783-2caf-4c7c-bcef-d12ae1bfb4ee,2021-03-12,2016-02-18,2016-03-13,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz/polls.json,https://www.abgeordnetenwatch.de/api/parliament/313c1783-2caf-4c7c-bcef-d12ae1bfb4ee/polls.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/313c1783-2caf-4c7c-bcef-d12ae1bfb4ee/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/313c1783-2caf-4c7c-bcef-d12ae1bfb4ee/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz/committees.json,https://www.abgeordnetenwatch.de/api/parliament/313c1783-2caf-4c7c-bcef-d12ae1bfb4ee/committees.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/313c1783-2caf-4c7c-bcef-d12ae1bfb4ee/constituencies.json
Rheinland-Pfalz 2006-2011,Landtag Rheinland-Pfalz,http://www.landtag.rlp.de/,8d2c6213-3789-4785-b39c-74443aa87a07,2006-03-26,2006-03-26,2006-03-26,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202006-2011/polls.json,https://www.abgeordnetenwatch.de/api/parliament/8d2c6213-3789-4785-b39c-74443aa87a07/polls.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202006-2011/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/8d2c6213-3789-4785-b39c-74443aa87a07/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202006-2011/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/8d2c6213-3789-4785-b39c-74443aa87a07/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202006-2011/committees.json,https://www.abgeordnetenwatch.de/api/parliament/8d2c6213-3789-4785-b39c-74443aa87a07/committees.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202006-2011/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/8d2c6213-3789-4785-b39c-74443aa87a07/constituencies.json
Rheinland-Pfalz 2011-2016,Landtag Rheinland-Pfalz,http://www.landtag.rlp.de/,131453de-729e-46c9-8244-15a43b2e76fa,2016-05-18,2011-05-18,2011-03-27,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202011-2016/polls.json,https://www.abgeordnetenwatch.de/api/parliament/131453de-729e-46c9-8244-15a43b2e76fa/polls.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202011-2016/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/131453de-729e-46c9-8244-15a43b2e76fa/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202011-2016/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/131453de-729e-46c9-8244-15a43b2e76fa/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202011-2016/committees.json,https://www.abgeordnetenwatch.de/api/parliament/131453de-729e-46c9-8244-15a43b2e76fa/committees.json,https://www.abgeordnetenwatch.de/api/parliament/rheinland-pfalz%202011-2016/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/131453de-729e-46c9-8244-15a43b2e76fa/constituencies.json
Saarland,Landtag des Saarlandes,http://www.landtag-saar.de/,ae6b100b-b0b1-42b0-bd9b-16bbf2ec8696,2022-03-25,2017-04-25,2017-03-26,https://www.abgeordnetenwatch.de/api/parliament/saarland/polls.json,https://www.abgeordnetenwatch.de/api/parliament/ae6b100b-b0b1-42b0-bd9b-16bbf2ec8696/polls.json,https://www.abgeordnetenwatch.de/api/parliament/saarland/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/ae6b100b-b0b1-42b0-bd9b-16bbf2ec8696/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/saarland/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/ae6b100b-b0b1-42b0-bd9b-16bbf2ec8696/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/saarland/committees.json,https://www.abgeordnetenwatch.de/api/parliament/ae6b100b-b0b1-42b0-bd9b-16bbf2ec8696/committees.json,https://www.abgeordnetenwatch.de/api/parliament/saarland/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/ae6b100b-b0b1-42b0-bd9b-16bbf2ec8696/constituencies.json
Saarland 2009-2012,Landtag des Saarlandes,http://www.landtag-saar.de/,06fe1e9a-a4e2-4185-8079-a2a6b23b6aa6,2009-08-30,2009-08-30,2009-08-30,https://www.abgeordnetenwatch.de/api/parliament/saarland%202009-2012/polls.json,https://www.abgeordnetenwatch.de/api/parliament/06fe1e9a-a4e2-4185-8079-a2a6b23b6aa6/polls.json,https://www.abgeordnetenwatch.de/api/parliament/saarland%202009-2012/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/06fe1e9a-a4e2-4185-8079-a2a6b23b6aa6/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/saarland%202009-2012/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/06fe1e9a-a4e2-4185-8079-a2a6b23b6aa6/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/saarland%202009-2012/committees.json,https://www.abgeordnetenwatch.de/api/parliament/06fe1e9a-a4e2-4185-8079-a2a6b23b6aa6/committees.json,https://www.abgeordnetenwatch.de/api/parliament/saarland%202009-2012/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/06fe1e9a-a4e2-4185-8079-a2a6b23b6aa6/constituencies.json
Saarland 2012-2017,Landtag des Saarlandes,http://www.landtag-saar.de/,05d2e02e-b708-4d08-9db5-664259f8a522,2012-03-25,2012-03-25,2012-03-25,https://www.abgeordnetenwatch.de/api/parliament/saarland%202012-2017/polls.json,https://www.abgeordnetenwatch.de/api/parliament/05d2e02e-b708-4d08-9db5-664259f8a522/polls.json,https://www.abgeordnetenwatch.de/api/parliament/saarland%202012-2017/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/05d2e02e-b708-4d08-9db5-664259f8a522/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/saarland%202012-2017/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/05d2e02e-b708-4d08-9db5-664259f8a522/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/saarland%202012-2017/committees.json,https://www.abgeordnetenwatch.de/api/parliament/05d2e02e-b708-4d08-9db5-664259f8a522/committees.json,https://www.abgeordnetenwatch.de/api/parliament/saarland%202012-2017/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/05d2e02e-b708-4d08-9db5-664259f8a522/constituencies.json
Sachsen,Sächsischer Landtag,http://www.landtag.sachsen.de/,e19542ed-9859-4c33-86b8-8d0fee3b6134,2019-11-11,2014-08-05,2014-08-31,https://www.abgeordnetenwatch.de/api/parliament/sachsen/polls.json,https://www.abgeordnetenwatch.de/api/parliament/e19542ed-9859-4c33-86b8-8d0fee3b6134/polls.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/e19542ed-9859-4c33-86b8-8d0fee3b6134/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/e19542ed-9859-4c33-86b8-8d0fee3b6134/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen/committees.json,https://www.abgeordnetenwatch.de/api/parliament/e19542ed-9859-4c33-86b8-8d0fee3b6134/committees.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/e19542ed-9859-4c33-86b8-8d0fee3b6134/constituencies.json
Sachsen 2009-2014,Sächsischer Landtag,http://www.landtag.sachsen.de/,b00e2c08-6732-495d-b793-3bdc76d69779,2014-09-29,2009-09-29,2009-09-27,https://www.abgeordnetenwatch.de/api/parliament/sachsen%202009-2014/polls.json,https://www.abgeordnetenwatch.de/api/parliament/b00e2c08-6732-495d-b793-3bdc76d69779/polls.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen%202009-2014/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/b00e2c08-6732-495d-b793-3bdc76d69779/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen%202009-2014/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/b00e2c08-6732-495d-b793-3bdc76d69779/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen%202009-2014/committees.json,https://www.abgeordnetenwatch.de/api/parliament/b00e2c08-6732-495d-b793-3bdc76d69779/committees.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen%202009-2014/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/b00e2c08-6732-495d-b793-3bdc76d69779/constituencies.json
Sachsen-Anhalt,Landtag Sachsen-Anhalt,http://www.landtag.sachsen-anhalt.de/,24160e0f-b16a-4718-926b-96bb03ed9cf5,2021-03-12,2018-01-08,2016-03-13,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt/polls.json,https://www.abgeordnetenwatch.de/api/parliament/24160e0f-b16a-4718-926b-96bb03ed9cf5/polls.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/24160e0f-b16a-4718-926b-96bb03ed9cf5/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/24160e0f-b16a-4718-926b-96bb03ed9cf5/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt/committees.json,https://www.abgeordnetenwatch.de/api/parliament/24160e0f-b16a-4718-926b-96bb03ed9cf5/committees.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/24160e0f-b16a-4718-926b-96bb03ed9cf5/constituencies.json
Sachsen-Anhalt 2006-2011,Landtag Sachsen-Anhalt,http://www.landtag.sachsen-anhalt.de/,5645b1d3-d095-44b5-8f53-52ed8fa8a2a6,2006-03-26,2006-03-26,2006-03-26,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202006-2011/polls.json,https://www.abgeordnetenwatch.de/api/parliament/5645b1d3-d095-44b5-8f53-52ed8fa8a2a6/polls.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202006-2011/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/5645b1d3-d095-44b5-8f53-52ed8fa8a2a6/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202006-2011/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/5645b1d3-d095-44b5-8f53-52ed8fa8a2a6/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202006-2011/committees.json,https://www.abgeordnetenwatch.de/api/parliament/5645b1d3-d095-44b5-8f53-52ed8fa8a2a6/committees.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202006-2011/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/5645b1d3-d095-44b5-8f53-52ed8fa8a2a6/constituencies.json
Sachsen-Anhalt 2011-2016,Landtag Sachsen-Anhalt,http://www.landtag.sachsen-anhalt.de/,ef6a1ba8-0275-4a8f-ba1c-6e99b15e3b5f,2011-03-20,2011-03-20,2011-03-20,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202011-2016/polls.json,https://www.abgeordnetenwatch.de/api/parliament/ef6a1ba8-0275-4a8f-ba1c-6e99b15e3b5f/polls.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202011-2016/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/ef6a1ba8-0275-4a8f-ba1c-6e99b15e3b5f/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202011-2016/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/ef6a1ba8-0275-4a8f-ba1c-6e99b15e3b5f/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202011-2016/committees.json,https://www.abgeordnetenwatch.de/api/parliament/ef6a1ba8-0275-4a8f-ba1c-6e99b15e3b5f/committees.json,https://www.abgeordnetenwatch.de/api/parliament/sachsen-anhalt%202011-2016/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/ef6a1ba8-0275-4a8f-ba1c-6e99b15e3b5f/constituencies.json
Schleswig-Holstein,Schleswig-Holsteinischer Landtag,http://www.landtag.ltsh.de/,bb646803-4cab-46f7-b1dd-19a5aa9b2adf,2022-05-30,2017-03-29,2017-05-07,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein/polls.json,https://www.abgeordnetenwatch.de/api/parliament/bb646803-4cab-46f7-b1dd-19a5aa9b2adf/polls.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/bb646803-4cab-46f7-b1dd-19a5aa9b2adf/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/bb646803-4cab-46f7-b1dd-19a5aa9b2adf/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein/committees.json,https://www.abgeordnetenwatch.de/api/parliament/bb646803-4cab-46f7-b1dd-19a5aa9b2adf/committees.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/bb646803-4cab-46f7-b1dd-19a5aa9b2adf/constituencies.json
Schleswig-Holstein 2009-2012,Schleswig-Holsteinischer Landtag,http://www.landtag.ltsh.de/,d8f76a34-3380-42a5-a90b-44d1ed427c3a,2012-05-06,2009-10-27,2009-09-27,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202009-2012/polls.json,https://www.abgeordnetenwatch.de/api/parliament/d8f76a34-3380-42a5-a90b-44d1ed427c3a/polls.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202009-2012/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/d8f76a34-3380-42a5-a90b-44d1ed427c3a/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202009-2012/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/d8f76a34-3380-42a5-a90b-44d1ed427c3a/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202009-2012/committees.json,https://www.abgeordnetenwatch.de/api/parliament/d8f76a34-3380-42a5-a90b-44d1ed427c3a/committees.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202009-2012/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/d8f76a34-3380-42a5-a90b-44d1ed427c3a/constituencies.json
Schleswig-Holstein 2012-2017,Schleswig-Holsteinischer Landtag,http://www.landtag.ltsh.de/,1b2ae15f-7958-492f-833f-5fb919138e11,2017-05-21,2012-05-21,2012-05-06,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202012-2017/polls.json,https://www.abgeordnetenwatch.de/api/parliament/1b2ae15f-7958-492f-833f-5fb919138e11/polls.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202012-2017/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/1b2ae15f-7958-492f-833f-5fb919138e11/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202012-2017/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/1b2ae15f-7958-492f-833f-5fb919138e11/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202012-2017/committees.json,https://www.abgeordnetenwatch.de/api/parliament/1b2ae15f-7958-492f-833f-5fb919138e11/committees.json,https://www.abgeordnetenwatch.de/api/parliament/schleswig-holstein%202012-2017/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/1b2ae15f-7958-492f-833f-5fb919138e11/constituencies.json
Thüringen,Thüringer Landtag,http://www.thueringer-landtag.de/,fe9724db-f3fb-4425-b38b-589dae0a3760,2019-11-01,2014-08-05,2014-09-14,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen/polls.json,https://www.abgeordnetenwatch.de/api/parliament/fe9724db-f3fb-4425-b38b-589dae0a3760/polls.json,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/fe9724db-f3fb-4425-b38b-589dae0a3760/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/fe9724db-f3fb-4425-b38b-589dae0a3760/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen/committees.json,https://www.abgeordnetenwatch.de/api/parliament/fe9724db-f3fb-4425-b38b-589dae0a3760/committees.json,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/fe9724db-f3fb-4425-b38b-589dae0a3760/constituencies.json
Thüringen 2009-2014,Thüringer Landtag,http://www.thueringer-landtag.de/,773c33a7-caaf-4a69-826c-96fbb9187a54,2009-08-30,2009-08-30,2009-08-30,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen%202009-2014/polls.json,https://www.abgeordnetenwatch.de/api/parliament/773c33a7-caaf-4a69-826c-96fbb9187a54/polls.json,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen%202009-2014/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/773c33a7-caaf-4a69-826c-96fbb9187a54/deputies.json,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen%202009-2014/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/773c33a7-caaf-4a69-826c-96fbb9187a54/candidates.json,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen%202009-2014/committees.json,https://www.abgeordnetenwatch.de/api/parliament/773c33a7-caaf-4a69-826c-96fbb9187a54/committees.json,https://www.abgeordnetenwatch.de/api/parliament/th%C3%BCringen%202009-2014/constituencies.json,https://www.abgeordnetenwatch.de/api/parliament/773c33a7-caaf-4a69-826c-96fbb9187a54/constituencies.json
